cold			0.6398495152542466	3.721253608054292e-52
attractive			0.6184689486561377	6.788710034396048e-48
unfriendly			0.5750189209309566	3.5494477914988436e-40
unhappy			0.5720276534434754	1.0959716196662782e-39
happy			0.5610896161462282	6.140739971037265e-38
unattractive			0.5593215162255573	1.1608796630322029e-37
kind			0.5284978395045762	4.2727897368703894e-33
unemotional			0.5275631190988528	5.780269721238339e-33
aggressive			0.5250402984006571	1.3005489320083268e-32
friendly			0.5207881820106484	5.024220930596606e-32
introverted			0.49090609869562685	3.9892420171387573e-28
mean			0.485465686448594	1.864055220133763e-27
caring			0.46335870024511583	7.4331042034018815e-25
sociable			0.4471035509344525	4.636331474751441e-23
trustworthy			0.4242038088708603	1.0879081382572378e-20
untrustworthy			0.41802156372653393	4.4276582324537713e-20
weird			0.41671110168422854	5.93988145268388e-20
egotistic			0.41208455745760286	1.6589130483066874e-19
uncertain			0.3988771003397339	2.85505950182807e-18
interesting			0.3788162096344992	1.697483548437251e-16
responsible			0.37192354241695086	6.482405272252473e-16
emotional			0.37054423516849316	8.443625012394295e-16
irresponsible			0.3662373156331578	1.9118251868485364e-15
boring			0.35553000042816674	1.3834823929458196e-14
emotUnstable			0.3498700427505073	3.8228090688022755e-14
confident			0.3472524405746853	6.074936482363417e-14
normal			0.3314357694542124	9.112204841357683e-13
emotStable			0.3312528751070448	9.393618721113248e-13
unintelligent			0.3163878099278524	1.040646697292201e-11
memorable			0.29732235410338226	1.8818994245231348e-10
humble			0.26953375991631046	8.876069462920245e-09
forgettable			0.24008597514939298	3.355291926875494e-07
familiar			0.22589680638863216	1.6475224519355806e-06
intelligent			0.2091516403766511	9.476121559843933e-06
atypical			0.1860017668956651	8.519628198677378e-05
uncommon			0.18037435597320436	0.00013987317763184372
unfamiliar			0.17354253219031757	0.0002503785874067481
calm			0.16843921269710885	0.00038144520584211864
common			0.13165331324885912	0.005623993172078203
typical			0.0929389747272757	0.05112818266713603
